table_name,feature_id,issue_type,issue_description,checked_at
osm2pgsql_polygon,1003351335,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,360255654,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,360255654,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,1337619906,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,450069556,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,450069556,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,1361688823,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,1361688825,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,1361688824,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,469641336,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,469641336,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,469641336,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,1214509610,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,360255580,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,360255571,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,360255575,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,360255575,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,360255567,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,360255634,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,360255634,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,910115697,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,910115697,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,910115697,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,910115697,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,910115697,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,910115698,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
osm2pgsql_polygon,910115698,Overlapping Feature,Overlaps with another polygon,2025-06-24 14:09:53.413023
